"GroupID","Param","Value","GroupLevel"
"AA-AA-000-0000","studyid","AA-AA-000-0000","Study"
"AA-AA-000-0000","nickname","TREE-91","Study"
"AA-AA-000-0000","protocol_title","Protocol Title E","Study"
"AA-AA-000-0000","status","Active","Study"
"AA-AA-000-0000","num_plan_site","150","Study"
"AA-AA-000-0000","num_plan_subj","1000","Study"
"AA-AA-000-0000","act_fpfv","2012-01-27","Study"
"AA-AA-000-0000","est_fpfv","2012-01-25","Study"
"AA-AA-000-0000","est_lplv","2012-05-08","Study"
"AA-AA-000-0000","est_lpfv","2012-03-29","Study"
"AA-AA-000-0000","therapeutic_area","Inflammation","Study"
"AA-AA-000-0000","protocol_indication","Lung Function","Study"
"AA-AA-000-0000","phase","P3","Study"
"AA-AA-000-0000","product","Product Name 42","Study"
"AA-AA-000-0000","SiteTarget","150","Study"
"AA-AA-000-0000","ParticipantTarget","1000","Study"
"AA-AA-000-0000","ParticipantCount","753","Study"
"AA-AA-000-0000","SiteCount","145","Study"
"AA-AA-000-0000","PercentSitesActivated","96.7","Study"
"AA-AA-000-0000","SiteActivation","145 / 150 (96.7%)","Study"
"AA-AA-000-0000","PercentParticipantsEnrolled","75.3","Study"
"AA-AA-000-0000","ParticipantEnrollment","753 / 1000 (75.3%)","Study"
"US","ParticipantCount","248","Country"
"US","SiteCount","47","Country"
"UK","ParticipantCount","195","Country"
"UK","SiteCount","40","Country"
"Japan","ParticipantCount","310","Country"
"Japan","SiteCount","58","Country"
